Entity,Code,Year,Population
Oceania,OWID_OCE,1982,23690693
Oceania,OWID_OCE,1983,24064499
Oceania,OWID_OCE,1984,24421103
Oceania,OWID_OCE,1985,24777609
Oceania,OWID_OCE,1986,25149869
Oceania,OWID_OCE,1987,25544592
Oceania,OWID_OCE,1988,25956460
Oceania,OWID_OCE,1989,26377044
Oceania,OWID_OCE,1990,26839397
Oceania,OWID_OCE,1991,27315331
Oceania,OWID_OCE,1992,27746651
Oceania,OWID_OCE,1993,28154388
Oceania,OWID_OCE,1994,28573089
Oceania,OWID_OCE,1995,29025267
Oceania,OWID_OCE,1996,29498702
Oceania,OWID_OCE,1997,29964609
Oceania,OWID_OCE,1998,30420070
Oceania,OWID_OCE,1999,30880117
Oceania,OWID_OCE,2000,31352968
Oceania,OWID_OCE,2001,31847232
Oceania,OWID_OCE,2002,32366021
Oceania,OWID_OCE,2003,32894563
Oceania,OWID_OCE,2004,33419063
Oceania,OWID_OCE,2005,33956165
Oceania,OWID_OCE,2006,34540362
Oceania,OWID_OCE,2007,35190049
Oceania,OWID_OCE,2008,35890355
Oceania,OWID_OCE,2009,36593549
Oceania,OWID_OCE,2010,37254088
Oceania,OWID_OCE,2011,37890098
Oceania,OWID_OCE,2012,38550537
Oceania,OWID_OCE,2013,39233938
Oceania,OWID_OCE,2014,39918746
Oceania,OWID_OCE,2015,40615015
Oceania,OWID_OCE,2016,41347231
Oceania,OWID_OCE,2017,42093989
Oceania,OWID_OCE,2018,42815501
Oceania,OWID_OCE,2019,43504534
Oceania,OWID_OCE,2020,44079305
Oceania,OWID_OCE,2021,44558542
Oceania,OWID_OCE,2022,45049680
Oceania,OWID_OCE,2023,45563135
